Paikka_Id,KuntaNimi,Nimi,lat,lon
3335,Kittilä,Pyhäjoki,68.02422099554131,24.1430924836762
1230,Kruunupyy,Kruunupyy,63.72426015531681,23.00834862307329
1286,Ristijärvi,Uva - luusua,64.57783894853708,27.9833794270137
1047,Mäntyharju,Volanjoki,61.43963569844611,26.61553536742191
2681,Kurikka,Kivi- ja Levalammen tekojärvi,62.757287808560626,21.98372582143689
1158,Ruovesi,Muroleenkoski,61.854153008812354,23.91066950231492
1168,Ikaalinen,Leppäsjärvi - luusua,61.89787006693389,23.061451262676247
1008,Konnevesi,Konnevesi - luusua,62.60858691185624,26.32044048063868
1346,Ii,Ravaska,65.6188377472757,25.291019142239772
1159,Ylöjärvi,Kuusjärvi - luusua,61.79899988527024,23.697711098174718
3674,Leppävirta,Konnus tulvakanava,62.54882378988471,27.76958233889183
943,Lapinlahti,Sälevä,63.513961574272784,27.94841863371893
3394,Kittilä,Seurujoki,67.92851202670224,25.348492857466717
1229,Pedersören kunta,Herrfors,63.6231186665545,22.88037154774181
1287,Paltamo,Leppikoski,64.45564044681413,27.886871868245848
1347,Ranua,Hosionkoski,65.91820900837656,25.834740864137764
1157,Mänttä-Vilppula,Vilppulankoski,62.01380806586377,24.50547939506684
939,Sonkajärvi,"Laakajärvi, Kiltua",63.831574543020466,27.89502834319499
1045,Hirvensalmi,Vahvajärvi - luusua,61.60401281959875,26.653363880694
1183,Huittinen,"Loimijoki, Sallilankoski",61.02612046845218,22.69993075307463
3532,Vaasa,Hiirikoski,63.00813544714911,22.1479997061003
1223,Alajärvi,Kurejoki,62.997243660980644,23.81975701535243
1291,Kuhmo,Kalliojärvi - luusua,64.2606142073924,29.906272451656232
3039,Pyhtää,Paaskoski,60.53804754819403,26.502397879339266
1330,Puolanka,Suolijärvi - luusua,65.14455044753304,28.06899962339434
996,Äänekoski,"Kiimasjärvi, Hietamankoski",62.6033083348553,25.567055657914306
1185,Huittinen,"Loimijoki, Maurialankoski",61.139478759235104,22.691342086075124
2721,Veteli,Patanan tekoallas,63.30252897452472,23.98227106539501
1025,Jämsä,Pälämä - luusua,61.739349477488936,25.151768784939733
935,Iisalmi,"Porovesi, Nerohvirta",63.46779824140692,27.22295234891264
3607,Evijärvi,"Evijärvi, Kaarenhaara",63.433436145743464,23.397119420988822
1328,Taivalkoski,Väätäjänsuvanto,65.49468505450676,27.940268742988128
1186,Kokemäki,Sääksjärvi - luusua,61.38143682540645,22.462873652187934
1222,Uusikaarlepyy,Uusikaarlepyy,63.52543757865176,22.528083823695365
1331,Pudasjärvi,Jaurakkajärvi - luusua,65.20344663666657,27.62189737658027
937,Kuopio,"Onkivesi, Viannonkoski",63.22039889824938,27.20338076959949
